Title,Category,Sub Category,Analysis,Short/long term,Sample Message,Frequency
Electricity baseload too high,Electricity,Baseload,Compare average electricity baseload over last year with benchmarks from other schools,Long,,
Electricity baseload has changed,Electricity,Baseload,Compare this week's electricity baseload with average baseload over the year,Short,,
Electricity consumption has changed,Electricity,,Compares this week's electricity consumption with the week before,Short,,
Electricity out of hours usage too high,Electricity,,Compares this year's out of hours electricity usage as a percent with benchmarks from other schools,Long,,
Gas out of hours usage too high,Gas,,Compares this year's out of hours gas  usage as a percent with benchmarks from other schools,Long,,
Electricity usage high,Electricity,,Compares this year's electricity usage with benchmarks from other schools on both per floor area and per pupil basis,Long,,
Gas usage high,Gas,,Compares this year's gas usage with benchmarks from other schools on both per floor area and per pupil basis,Long,,
Gas consumption has changed,Gas,,Compares this week's gas consumption with the week before (automatically adjusting the comparison to account for changes in external ambient temperatures,Short,,
Weekend gas consumption,Gas,,Reports weekend gas consumption above a threshold accounting for the impact of boiler frost protection,Short,,
Holiday coming up,,,Notifies the school a holiday is coming up and suggests a list of appliances/boilers to switch off,Short,,
Turn heating on/off,Gas,Heating,"Looks at next 10 days weather forecast for the local area and notifies school if it is warm enough to turn the heating off next week, or cold enough for it to be turned on",Short,,
Hot water efficiency,Gas,Hot water,Compares the school's hot water efficiency with benchmarks,Long,,
Heating coming on too early in the morning,Gas,Heating,Calculates when the heating has come on on average for the latest day for which we have smart meter data and reports if it has come on too early accounting for frost protection,Short,,
Thermostatic Control,Gas,Heating,"Calculates how good the schools thermostatic control was over the last  year, and makes recommendations",Long,,
